Date,Open,High,Low,Close,Adj_Close,Volume
2014-09-17,0.001163,0.001196,0.001005,0.001145,0.001145,421
2014-09-18,0.001144,0.001165,0.000923,0.000942,0.000942,328
2014-09-19,0.000942,0.001198,0.000842,0.001071,0.001071,397
2014-09-20,0.001071,0.001435,0.0008789999999999999,0.001427,0.001427,299
2014-09-21,0.001424,0.001435,0.000755,0.000981,0.000981,720
2014-09-22,0.000982,0.001363,0.000953,0.001091,0.001091,469
2014-09-23,0.001091,0.001332,0.000967,0.001089,0.001089,428
2014-09-24,0.001089,0.001308,0.000926,0.001308,0.001308,275
2014-09-25,0.001308,0.001309,0.000992,0.001035,0.001035,161
2014-09-26,0.001035,0.001446,0.001035,0.001438,0.001438,937
2014-09-27,0.001435,0.001446,0.00128,0.001426,0.001426,148
2014-09-28,0.001426,0.001451,0.001259,0.00127,0.00127,465
2014-09-29,0.001269,0.001598,0.0012109999999999998,0.001591,0.001591,1466
2014-09-30,0.001593,0.0016010000000000002,0.0008789999999999999,0.001073,0.001073,799
2014-10-01,0.001075,0.001376,0.0008710000000000001,0.001009,0.001009,1007
2014-10-02,0.001075,0.001075,0.000793,0.000912,0.000912,332
2014-10-03,0.000912,0.000962,0.000785,0.0008289999999999999,0.0008289999999999999,173
2014-10-04,0.0008300000000000001,0.000919,0.000729,0.0008320000000000001,0.0008320000000000001,16
2014-10-05,0.0008320000000000001,0.0008349999999999999,0.000586,0.000816,0.000816,221
2014-10-06,0.000816,0.000909,0.0006450000000000001,0.0008349999999999999,0.0008349999999999999,65
2014-10-07,0.0008359999999999999,0.000869,0.000735,0.000808,0.000808,82
2014-10-08,0.000808,0.0008550000000000001,0.000771,0.000826,0.000826,151
2014-10-09,0.000825,0.001146,0.000754,0.001058,0.001058,422
2014-10-10,0.001057,0.00113,0.0008359999999999999,0.00113,0.00113,260
2014-10-11,0.00113,0.00114,0.0008960000000000002,0.001069,0.001069,204
2014-10-12,0.00107,0.001077,0.0008849999999999998,0.001044,0.001044,92
2014-10-13,0.001042,0.001082,0.0008960000000000002,0.001034,0.001034,65
2014-10-14,0.001039,0.001129,0.000897,0.000902,0.000902,332
2014-10-15,0.000902,0.001109,0.000884,0.000965,0.000965,423
2014-10-16,0.000964,0.001033,0.0008880000000000002,0.001032,0.001032,63
2014-10-17,0.001033,0.001092,0.000819,0.00103,0.00103,223
2014-10-18,0.00103,0.001038,0.000842,0.000967,0.000967,88
2014-10-19,0.000966,0.000992,0.000848,0.000912,0.000912,108
2014-10-20,0.000911,0.000937,0.00078,0.000932,0.000932,137
2014-10-21,0.000931,0.000933,0.0008060000000000001,0.000897,0.000897,96
2014-10-22,0.0008960000000000002,0.000902,0.000814,0.000883,0.000883,130
2014-10-23,0.000883,0.000908,0.000763,0.000834,0.000834,443
2014-10-24,0.0008349999999999999,0.000848,0.000781,0.0007830000000000001,0.0007830000000000001,262
2014-10-25,0.000784,0.0008179999999999999,0.000697,0.000705,0.000705,33
2014-10-26,0.000705,0.0008119999999999999,0.000698,0.000785,0.000785,41
2014-10-27,0.000785,0.000964,0.0007,0.000883,0.000883,246
2014-10-28,0.000884,0.00102,0.000831,0.000893,0.000893,137
2014-10-29,0.000892,0.000959,0.0006320000000000001,0.0006320000000000001,0.0006320000000000001,407
2014-10-30,0.0006320000000000001,0.000739,0.000549,0.000579,0.000579,33
2014-10-31,0.0005780000000000001,0.000653,0.0005110000000000001,0.000608,0.000608,5
2014-11-01,0.000609,0.000975,0.000609,0.0008460000000000001,0.0008460000000000001,147
2014-11-02,0.0008470000000000001,0.0008810000000000002,0.000674,0.0008810000000000002,0.0008810000000000002,91
2014-11-03,0.00088,0.001006,0.000778,0.0008820000000000002,0.0008820000000000002,177
2014-11-04,0.0008810000000000002,0.001057,0.000826,0.001052,0.001052,728
2014-11-05,0.001053,0.0013310000000000002,0.000914,0.001165,0.001165,539
2014-11-06,0.001165,0.00136,0.001161,0.001322,0.001322,285
2014-11-07,0.001324,0.001428,0.001315,0.00141,0.00141,627
2014-11-08,0.001407,0.001432,0.001286,0.001307,0.001307,250
2014-11-09,0.001307,0.001366,0.001255,0.001359,0.001359,166
2014-11-10,0.001355,0.0014880000000000002,0.001097,0.001379,0.001379,132
2014-11-11,0.001375,0.0014,0.00101,0.00121,0.00121,494
2014-11-12,0.0012109999999999998,0.001691,0.0012109999999999998,0.0014789999999999998,0.0014789999999999998,632
2014-11-13,0.001492,0.0016579999999999998,0.001287,0.001651,0.001651,172
2014-11-14,0.0016420000000000002,0.001645,0.001499,0.001562,0.001562,118
2014-11-15,0.001569,0.001592,0.001145,0.001248,0.001248,227
2014-11-16,0.001244,0.001395,0.001107,0.001391,0.001391,305
2014-11-17,0.001393,0.001512,0.001202,0.001352,0.001352,272
2014-11-18,0.001353,0.00147,0.001147,0.001287,0.001287,427
2014-11-19,0.001282,0.001386,0.001131,0.001165,0.001165,784
2014-11-20,0.001164,0.00123,0.001092,0.001217,0.001217,200
2014-11-21,0.001217,0.001295,0.001105,0.001182,0.001182,137
2014-11-22,0.001185,0.001203,0.001088,0.001128,0.001128,521
2014-11-23,0.001128,0.001264,0.001058,0.001158,0.001158,231
2014-11-24,0.001155,0.001396,0.001111,0.001361,0.001361,121
2014-11-25,0.001361,0.00137,0.001154,0.001181,0.001181,14
2014-11-26,0.001183,0.001465,0.001167,0.001291,0.001291,142
2014-11-27,0.001298,0.001427,0.001212,0.001427,0.001427,13
2014-11-28,0.001426,0.001452,0.001216,0.001428,0.001428,81
2014-11-29,0.001427,0.001476,0.001414,0.001427,0.001427,77
2014-11-30,0.001427,0.001451,0.001419,0.001434,0.001434,77
2014-12-01,0.001435,0.001456,0.001429,0.001441,0.001441,77
2014-12-02,0.001441,0.001459,0.001218,0.001224,0.001224,444
2014-12-03,0.001225,0.001423,0.001219,0.001353,0.001353,176
2014-12-04,0.001356,0.001356,0.001001,0.001186,0.001186,299
2014-12-05,0.001186,0.001298,0.001025,0.001294,0.001294,333
2014-12-06,0.001294,0.001294,0.001041,0.001124,0.001124,171
2014-12-07,0.001124,0.001127,0.001048,0.001049,0.001049,23
2014-12-08,0.001049,0.001052,0.001012,0.001012,0.001012,66
2014-12-09,0.001012,0.001157,0.00093,0.001143,0.001143,451
2014-12-10,0.001143,0.001144,0.000858,0.000952,0.000952,17
2014-12-11,0.000946,0.000948,0.000724,0.0007830000000000001,0.0007830000000000001,186
2014-12-12,0.000785,0.001038,0.00074,0.001038,0.001038,36
2014-12-13,0.001037,0.001041,0.000824,0.001021,0.001021,8
2014-12-14,0.001019,0.001019,0.0007379999999999999,0.000866,0.000866,65
2014-12-15,0.000865,0.000993,0.00085,0.00093,0.00093,0
2014-12-16,0.000931,0.000994,0.000782,0.000958,0.000958,21
2014-12-17,0.000957,0.000978,0.000705,0.000913,0.000913,27
2014-12-18,0.000913,0.001046,0.000676,0.00094,0.00094,473
2014-12-19,0.00094,0.000978,0.00092,0.000922,0.000922,198
2014-12-20,0.000921,0.001113,0.000915,0.0009789999999999998,0.0009789999999999998,36
2014-12-21,0.000978,0.001094,0.000932,0.001076,0.001076,340
2014-12-22,0.001077,0.001121,0.000907,0.000916,0.000916,69
2014-12-23,0.000917,0.001177,0.000877,0.0011710000000000002,0.0011710000000000002,446
2014-12-24,0.00117,0.001172,0.00097,0.000974,0.000974,305
2014-12-25,0.000973,0.001172,0.000959,0.001157,0.001157,6
2014-12-26,0.001157,0.0012779999999999998,0.000991,0.001273,0.001273,54
2014-12-27,0.001271,0.001277,0.000941,0.000997,0.000997,761
2014-12-28,0.000998,0.001019,0.000868,0.0009880000000000002,0.0009880000000000002,46
2014-12-29,0.000989,0.001037,0.00088,0.00088,0.00088,304
2014-12-30,0.0008820000000000002,0.00091,0.000781,0.000782,0.000782,95
2014-12-31,0.000624,0.001035,0.0006219999999999999,0.000905,0.000905,108
2015-01-01,0.000906,0.001003,0.000795,0.000796,0.000796,281
2015-01-02,0.000795,0.000963,0.000794,0.000954,0.000954,1
2015-01-03,0.000944,0.000944,0.000734,0.000734,0.000734,510
2015-01-04,0.000734,0.000848,0.000672,0.000727,0.000727,197
2015-01-05,0.000729,0.001089,0.000715,0.000942,0.000942,6263
2015-01-06,0.000942,0.000998,0.0008029999999999999,0.000819,0.000819,573
2015-01-07,0.0008179999999999999,0.0008230000000000001,0.00079,0.000797,0.000797,13
2015-01-08,0.000797,0.00103,0.000794,0.001008,0.001008,334
2015-01-09,0.001004,0.001071,0.0008289999999999999,0.001059,0.001059,343
2015-01-10,0.001069,0.003505,0.001069,0.002477,0.002477,11126
2015-01-11,0.002475,0.0025510000000000003,0.001785,0.0018,0.0018,1072
2015-01-12,0.001803,0.002454,0.001525,0.002159,0.002159,3750
2015-01-13,0.002155,0.002398,0.001636,0.0016809999999999998,0.0016809999999999998,2882
2015-01-14,0.001666,0.001869,0.0013310000000000002,0.001564,0.001564,1128
2015-01-15,0.001553,0.002508,0.001553,0.002343,0.002343,1609
2015-01-16,0.002334,0.003275,0.002202,0.003005,0.003005,6124
2015-01-17,0.003001,0.003273,0.002412,0.002444,0.002444,1999
2015-01-18,0.002454,0.003689,0.00244,0.003397,0.003397,3312
2015-01-19,0.003415,0.003952000000000001,0.003378,0.003952000000000001,0.003952000000000001,4691
2015-01-20,0.003915999999999999,0.007395,0.003723,0.0063,0.0063,12963
2015-01-21,0.006806,0.006806,0.005019,0.006749,0.006749,10500
2015-01-22,0.006766,0.007229000000000002,0.005427,0.006391,0.006391,6574
2015-01-23,0.006394,0.006394,0.005177,0.005734,0.005734,2644
2015-01-24,0.00573,0.006571,0.004096,0.004841,0.004841,28421
2015-01-25,0.004832,0.005896,0.004777,0.005226,0.005226,4314
2015-01-26,0.005274,0.006143,0.003716,0.005234,0.005234,6858
2015-01-27,0.005228,0.007267,0.005035,0.006265,0.006265,5017
2015-01-28,0.006261999999999999,0.006823999999999999,0.00413,0.00424,0.00424,2812
2015-01-29,0.004847,0.006229999999999999,0.004071,0.006074,0.006074,4143
2015-01-30,0.006055,0.006576,0.005556,0.005967,0.005967,3315
2015-01-31,0.005967,0.00787,0.005731,0.006967,0.006967,4798
2015-02-01,0.006948,0.008081,0.005162,0.006716,0.006716,12996
2015-02-02,0.006702,0.007123,0.005319,0.005796,0.005796,2720
2015-02-03,0.006021,0.006336,0.005117,0.005876,0.005876,3023
2015-02-04,0.00588,0.006906,0.005577,0.006736,0.006736,3150
2015-02-05,0.006736,0.007262999999999999,0.005598,0.006086,0.006086,5388
2015-02-06,0.00609,0.006603,0.005293,0.006279,0.006279,4592
2015-02-07,0.00628,0.006572,0.005469,0.0058200000000000005,0.0058200000000000005,1651
2015-02-08,0.0057810000000000005,0.006319,0.005145,0.005788000000000001,0.005788000000000001,978
2015-02-09,0.005790999999999999,0.005924,0.005147,0.005151,0.005151,1589
2015-02-10,0.0051600000000000005,0.005704,0.004964,0.005571,0.005571,1888
2015-02-11,0.005565,0.006711,0.004963,0.005525,0.005525,5864
2015-02-12,0.005529,0.006144,0.005468,0.005764,0.005764,1318
2015-02-13,0.006122,0.007139,0.005678,0.006551,0.006551,4426
2015-02-14,0.00655,0.007725,0.006228,0.0077,0.0077,5263
2015-02-15,0.0076900000000000015,0.008256,0.006659999999999999,0.006751999999999999,0.006751999999999999,6835
2015-02-16,0.006784,0.007285,0.006401,0.007186,0.007186,4622
2015-02-17,0.007197,0.00929,0.006909,0.007925,0.007925,7783
2015-02-18,0.00793,0.007953,0.006885,0.007312000000000002,0.007312000000000002,3445
2015-02-19,0.007301999999999999,0.007812999999999999,0.0061340000000000006,0.007210999999999999,0.007210999999999999,8265
2015-02-20,0.007199,0.007716,0.006352,0.006414,0.006414,2193
2015-02-21,0.006406,0.007254999999999998,0.006391,0.006449,0.006449,3250
2015-02-22,0.0064540000000000005,0.007551,0.006209,0.007541,0.007541,1997
2015-02-23,0.007536,0.007608,0.005976,0.007593000000000002,0.007593000000000002,5830
2015-02-24,0.007599,0.007599,0.006495,0.007239,0.007239,361
2015-02-25,0.007237,0.007256,0.006364,0.007012999999999999,0.007012999999999999,2771
2015-02-26,0.007016,0.007016,0.006241,0.0068980000000000005,0.0068980000000000005,1460
2015-02-27,0.006894,0.007484,0.006776999999999999,0.00678,0.00678,1611
2015-02-28,0.0067280000000000005,0.00778,0.006665000000000001,0.006806,0.006806,2098
2015-03-01,0.006804999999999999,0.008088,0.00677,0.007645999999999998,0.007645999999999998,2613
2015-03-02,0.0076409999999999985,0.008264,0.0073170000000000015,0.0077230000000000016,0.0077230000000000016,6381
2015-03-03,0.007722,0.008496,0.00732,0.00843,0.00843,3843
2015-03-04,0.008409,0.00854,0.007514,0.008287000000000001,0.008287000000000001,1424
