Date,Open,High,Low,Close,Adj_Close,Volume
2015-08-07,2.83162,3.53661,2.52112,2.77212,2.77212,164329
2015-08-08,2.79376,2.79881,0.714725,0.753325,0.753325,674188
2015-08-09,0.706136,0.87981,0.629191,0.701897,0.701897,532170
2015-08-10,0.713989,0.729854,0.6365460000000001,0.708448,0.708448,405283
2015-08-11,0.708087,1.13141,0.663235,1.06786,1.06786,1463100
2015-08-12,1.05875,1.28994,0.883608,1.21744,1.21744,2150620
2015-08-13,1.22224,1.96507,1.17199,1.82767,1.82767,4068680
2015-08-14,1.81092,2.26188,1.75475,1.82787,1.82787,4637030
2015-08-15,1.80289,1.87724,1.5709799999999998,1.6889,1.6889,2554360
2015-08-16,1.68435,1.69524,1.08981,1.56603,1.56603,3550790
2015-08-17,1.58119,1.58119,1.18534,1.20361,1.20361,1942830
2015-08-18,1.2153,1.33116,1.08705,1.08705,1.08705,1485680
2015-08-19,1.16693,1.31799,1.16693,1.25886,1.25886,1486240
2015-08-20,1.25118,1.5333,1.24833,1.46492,1.46492,2843760
2015-08-21,1.4775200000000002,1.55642,1.3528,1.39529,1.39529,2020970
2015-08-22,1.39629,1.47641,1.35268,1.37923,1.37923,948310
2015-08-23,1.375,1.4097,1.29777,1.35259,1.35259,1589300
2015-08-24,1.34559,1.36278,1.23127,1.23127,1.23127,924920
2015-08-25,1.22861,1.24182,1.12865,1.14019,1.14019,1307180
2015-08-26,1.13279,1.20248,1.0618299999999998,1.15998,1.15998,1056750
2015-08-27,1.16981,1.1888299999999998,1.13729,1.1477,1.1477,686662
2015-08-28,1.14766,1.20779,1.1205,1.19138,1.19138,721872
2015-08-29,1.19353,1.20721,1.14949,1.18255,1.18255,375377
2015-08-30,1.18299,1.36799,1.17061,1.3192700000000002,1.3192700000000002,1337650
2015-08-31,1.32138,1.39615,1.20101,1.35824,1.35824,1447180
2015-09-01,1.35348,1.39274,1.33663,1.35161,1.35161,778862
2015-09-02,1.3515700000000002,1.35491,1.26462,1.29479,1.29479,883769
2015-09-03,1.29519,1.30999,1.2110299999999998,1.26493,1.26493,702991
2015-09-04,1.26493,1.30252,1.23681,1.27441,1.27441,474391
2015-09-05,1.28056,1.3423,1.27119,1.33881,1.33881,448453
2015-09-06,1.33801,1.37364,1.29425,1.29583,1.29583,491968
2015-09-07,1.2959,1.30548,1.23785,1.24665,1.24665,489014
2015-09-08,1.24665,1.28238,1.23061,1.24243,1.24243,427892
